ID,Espèce,Confiance,Haute_Confiance,Horodatage,Session
---,Nouvelle session - 2025-04-26 14:10:50,---,---,---,---
---,Nouvelle session - 2025-04-26 18:19:20,---,---,---,---
0,Anthias,1.0000,1,2025-04-26 18:19:32,20250426_1819
2,Bogue,0.9322,1,2025-04-26 18:19:36,20250426_1819
3,Anthias,0.9217,1,2025-04-26 18:19:38,20250426_1819
3,Anthias,1.0000,1,2025-04-26 18:19:49,20250426_1819
6,Anthias,0.9970,1,2025-04-26 18:19:53,20250426_1819
7,Poisson scorpion,0.9339,1,2025-04-26 18:19:54,20250426_1819
10,Anthias,0.9988,1,2025-04-26 18:20:09,20250426_1820
11,Anthias,1.0000,1,2025-04-26 18:20:09,20250426_1820
12,Anthias,0.9985,1,2025-04-26 18:20:09,20250426_1820
0,Orphie,0.9067,1,2025-04-26 18:20:18,20250426_1820
1,Anthias,0.9992,1,2025-04-26 18:20:18,20250426_1820
2,Anthias,0.9980,1,2025-04-26 18:20:18,20250426_1820
3,Anthias,0.9843,1,2025-04-26 18:20:20,20250426_1820
0,Anthias,0.9724,1,2025-04-26 18:20:21,20250426_1820
1,Anthias,0.9939,1,2025-04-26 18:20:21,20250426_1820
2,Anthias,0.9999,1,2025-04-26 18:20:23,20250426_1820
3,Anthias,1.0000,1,2025-04-26 18:20:30,20250426_1820
4,Anthias,0.9985,1,2025-04-26 18:20:30,20250426_1820
0,Anthias,1.0000,1,2025-04-26 18:20:31,20250426_1820
1,Anthias,0.9987,1,2025-04-26 18:20:31,20250426_1820
2,Anthias,0.9813,1,2025-04-26 18:20:31,20250426_1820
0,Anthias,0.9988,1,2025-04-26 18:20:37,20250426_1820
1,Anthias,1.0000,1,2025-04-26 18:20:37,20250426_1820
2,Anthias,0.9985,1,2025-04-26 18:20:37,20250426_1820
4,Anthias,0.9843,1,2025-04-26 18:20:44,20250426_1820
0,Anthias,0.9988,1,2025-04-26 18:20:49,20250426_1820
1,Anthias,1.0000,1,2025-04-26 18:20:49,20250426_1820
2,Anthias,0.9985,1,2025-04-26 18:20:49,20250426_1820
4,Anthias,0.9843,1,2025-04-26 18:20:58,20250426_1820
5,Anthias,0.9988,1,2025-04-26 18:21:01,20250426_1821
0,Anthias,1.0000,1,2025-04-26 18:34:33,20250426_1834
1,Anthias,0.9987,1,2025-04-26 18:34:33,20250426_1834
2,Anthias,0.9813,1,2025-04-26 18:34:33,20250426_1834
4,Anthias,0.9843,1,2025-04-26 18:34:48,20250426_1834
5,Anthias,0.9988,1,2025-04-26 18:34:52,20250426_1834
